Library,Scope,Library Version,File Path,Vulnerabilities,License,Language,Recommended upgrade,Vulnerability List
io.netty:netty-all,compile,4.1.50.Final,,,,,,[]
com.google.code.gson:gson,compile,2.8.6,,,,,,[]
org.yaml:snakeyaml,compile,1.26,,,,,,[]
org.springframework:spring-beans,compile,5.2.7.RELEASE,,,,,,[]
org.springframework:spring-web,compile,5.2.7.RELEASE,,,,,,[]
org.springframework:spring-core,compile,5.2.7.RELEASE,,,,,,[]
org.springframework:spring-jcl,compile,5.2.7.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-starter,compile,2.3.1.RELEASE,,,,,,[]
jakarta.annotation:jakarta.annotation-api,compile,1.3.5,,,,,,[]
ch.qos.logback:logback-classic,compile,1.2.2,,,,,,[]
ch.qos.logback:logback-core,compile,1.2.2,,,,,,[]
org.apache.logging.log4j:log4j-api,compile,2.11.1,,,,,,[]
com.google.guava:guava,compile,28.1-android,,,,,,[]
com.google.errorprone:error_prone_annotations,compile,2.3.3,,,,,,[]
org.springframework.boot:spring-boot-starter-web,compile,1.5.22.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-starter,compile,1.5.22.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-starter-tomcat,compile,1.5.22.RELEASE,,,,,,[]
org.apache.tomcat.embed:tomcat-embed-el,compile,8.5.43,,,,,,[]
org.apache.tomcat.embed:tomcat-embed-websocket,compile,8.5.43,,,,,,[]
org.hibernate:hibernate-validator,compile,5.3.6.Final,,,,,,[]
org.jboss.logging:jboss-logging,compile,3.3.2.Final,,,,,,[]
com.fasterxml:classmate,compile,1.3.4,,,,,,[]
com.fasterxml.jackson.core:jackson-databind,compile,2.8.11.3,,,,,,[]
com.fasterxml.jackson.core:jackson-annotations,compile,2.8.0,,,,,,[]
com.fasterxml.jackson.core:jackson-core,compile,2.8.11,,,,,,[]
org.springframework:spring-webmvc,compile,4.3.25.RELEASE,,,,,,[]
org.apache.tomcat.embed:tomcat-embed-core,compile,8.5.43,,,,,,[]
org.apache.tomcat:tomcat-annotations-api,compile,8.5.43,,,,,,[]
org.springframework.boot:spring-boot-starter-actuator,compile,1.5.22.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-actuator,compile,1.5.22.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-starter-web,compile,2.3.1.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-starter-json,compile,2.3.1.RELEASE,,,,,,[]
com.fasterxml.jackson.core:jackson-databind,compile,2.11.0,,,,,,[]
com.fasterxml.jackson.core:jackson-annotations,compile,2.11.0,,,,,,[]
com.fasterxml.jackson.core:jackson-core,compile,2.11.0,,,,,,[]
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,compile,2.11.0,,,,,,[]
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,compile,2.11.0,,,,,,[]
com.fasterxml.jackson.module:jackson-module-parameter-names,compile,2.11.0,,,,,,[]
org.springframework.boot:spring-boot-starter-tomcat,compile,2.3.1.RELEASE,,,,,,[]
org.apache.tomcat.embed:tomcat-embed-core,compile,9.0.36,,,,,,[]
org.glassfish:jakarta.el,compile,3.0.3,,,,,,[]
org.apache.tomcat.embed:tomcat-embed-websocket,compile,9.0.36,,,,,,[]
org.springframework:spring-webmvc,compile,5.2.7.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-starter-actuator,compile,2.3.1.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-actuator-autoconfigure,compile,2.3.1.RELEASE,,,,,,[]
org.springframework.boot:spring-boot-actuator,compile,2.3.1.RELEASE,,,,,,[]
io.micrometer:micrometer-core,compile,1.5.1,,,,,,[]
org.hdrhistogram:HdrHistogram,compile,2.1.12,,,,,,[]
org.latencyutils:LatencyUtils,runtime,2.0.3,,,,,,[]
io.netty:netty-transport-native-unix-common,compile,4.1.48.Final,,,,,,[]
org.junit.platform:junit-platform-engine,compile,1.6.0,,,,,,[]
org.junit.platform:junit-platform-commons,compile,1.6.0,,,,,,[]
org.springframework:spring-beans,compile,3.2.18.RELEASE,,,,,,[]
org.springframework:spring-core,compile,3.2.18.RELEASE,,,,,,[]
org.springframework:spring-web,compile,3.2.18.RELEASE,,,,,,[]
org.springframework:spring-aop,compile,3.2.18.RELEASE,,,,,,[]
org.springframework:spring-context,compile,3.2.18.RELEASE,,,,,,[]
org.springframework:spring-expression,compile,3.2.18.RELEASE,,,,,,[]
org.junit.jupiter:junit-jupiter-engine,compile,5.6.0,,,,,,[]
org.junit.jupiter:junit-jupiter-api,compile,5.6.0,,,,,,[]
org.junit.jupiter:junit-jupiter-params,compile,5.6.0,,,,,,[]
org.hamcrest:hamcrest,compile,2.2,,,,,,[]
org.mockito:mockito-core,compile,3.8.0,,,,,,[]
net.bytebuddy:byte-buddy,compile,1.10.20,,,,,,[]
net.bytebuddy:byte-buddy-agent,compile,1.10.20,,,,,,[]
org.objenesis:objenesis,compile,3.1,,,,,,[]
org.mockito:mockito-inline,compile,3.8.0,,,,,,[]
cglib:cglib-nodep,compile,2.2,,,,,,[]
org.apache.maven:maven-plugin-api,compile,3.5.4,,,,,,[]
org.apache.maven:maven-model,compile,3.5.4,,,,,,[]
org.apache.maven:maven-artifact,compile,3.5.4,,,,,,[]
org.eclipse.sisu:org.eclipse.sisu.plexus,compile,0.3.3,,,,,,[]
javax.enterprise:cdi-api,compile,1.0,,,,,,[]
javax.annotation:jsr250-api,compile,1.0,,,,,,[]
org.codehaus.plexus:plexus-utils,compile,3.1.0,,,,,,[]
org.codehaus.plexus:plexus-classworlds,compile,2.5.2,,,,,,[]
org.eclipse.sisu:org.eclipse.sisu.inject,compile,0.3.3,,,,,,[]
org.codehaus.plexus:plexus-component-annotations,compile,1.7.1,,,,,,[]
Library,Scope,Library Version,File Path,Vulnerabilities,License,Language,Recommended upgrade,Vulnerability List
commons-logging:commons-logging,compile,1.2,,,,,,[]
log4j:log4j,compile,1.2.16,,,,,,[]
org.javassist:javassist,compile,3.23.1-GA,,,,,,[]
com.alibaba:fastjson,compile,1.2.70,,,,,,[]
com.google.code.gson:gson,compile,2.8.5,,,,,,[]
commons-io:commons-io,compile,2.6,,,,,,[]
javax.annotation:javax.annotation-api,compile,1.3.2,,,,,,[]
org.springframework:spring-context,compile,5.2.8.RELEASE,,,,,,[]
org.springframework:spring-aop,compile,5.2.8.RELEASE,,,,,,[]
org.springframework:spring-beans,compile,5.2.8.RELEASE,,,,,,[]
org.springframework:spring-core,compile,5.2.8.RELEASE,,,,,,[]
org.springframework:spring-jcl,compile,5.2.8.RELEASE,,,,,,[]
org.springframework:spring-expression,compile,5.2.8.RELEASE,,,,,,[]
org.junit.platform:junit-platform-launcher,compile,1.6.2,,,,,,[]
org.apiguardian:apiguardian-api,compile,1.1.0,,,,,,[]
org.junit.platform:junit-platform-engine,compile,1.6.2,,,,,,[]
org.opentest4j:opentest4j,compile,1.2.0,,,,,,[]
org.junit.platform:junit-platform-commons,compile,1.6.2,,,,,,[]
org.apache.commons:commons-lang3,compile,3.8.1,,,,,,[]
org.apache.zookeeper:zookeeper,compile,3.6.0,,,,,,[]
commons-lang:commons-lang,compile,2.6,,,,,,[]
org.apache.zookeeper:zookeeper-jute,compile,3.6.0,,,,,,[]
org.apache.yetus:audience-annotations,compile,0.5.0,,,,,,[]
io.netty:netty-handler,compile,4.1.45.Final,,,,,,[]
io.netty:netty-common,compile,4.1.45.Final,,,,,,[]
io.netty:netty-buffer,compile,4.1.45.Final,,,,,,[]
io.netty:netty-transport,compile,4.1.45.Final,,,,,,[]
io.netty:netty-resolver,compile,4.1.45.Final,,,,,,[]
io.netty:netty-codec,compile,4.1.45.Final,,,,,,[]
io.netty:netty-transport-native-epoll,compile,4.1.45.Final,,,,,,[]
io.netty:netty-transport-native-unix-common,compile,4.1.45.Final,,,,,,[]
org.slf4j:slf4j-api,compile,1.7.25,,,,,,[]
