cve,snyk link,scantist link,Completed,Unsure flag,Comment
CVE-2020-7021,https://security.snyk.io/search?type=any&q=CVE-2020-7021,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-7021,TRUE,FALSE,
CVE-2020-7020,https://security.snyk.io/search?type=any&q=CVE-2020-7020,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-7020,TRUE,FALSE,
CVE-2020-7014,https://security.snyk.io/search?type=any&q=CVE-2020-7014,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-7014,TRUE,FALSE,
CVE-2020-5529,https://security.snyk.io/search?type=any&q=CVE-2020-5529,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-5529,TRUE,FALSE,
CVE-2020-5408,https://security.snyk.io/search?type=any&q=CVE-2020-5408,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-5408,TRUE,FALSE,
CVE-2020-5407,https://security.snyk.io/search?type=any&q=CVE-2020-5407,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-5407,TRUE,FALSE,
CVE-2020-5398,https://security.snyk.io/search?type=any&q=CVE-2020-5398,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-5398,TRUE,FALSE,
CVE-2020-36189,https://security.snyk.io/search?type=any&q=CVE-2020-36189,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36189,TRUE,FALSE,
CVE-2020-36188,https://security.snyk.io/search?type=any&q=CVE-2020-36188,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36188,TRUE,FALSE,
CVE-2020-36187,https://security.snyk.io/search?type=any&q=CVE-2020-36187,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36187,TRUE,FALSE,
CVE-2020-36186,https://security.snyk.io/search?type=any&q=CVE-2020-36186,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36186,TRUE,FALSE,
CVE-2020-36185,https://security.snyk.io/search?type=any&q=CVE-2020-36185,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36185,TRUE,FALSE,
CVE-2020-36184,https://security.snyk.io/search?type=any&q=CVE-2020-36184,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36184,TRUE,FALSE,
CVE-2020-36183,https://security.snyk.io/search?type=any&q=CVE-2020-36183,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36183,TRUE,FALSE,
CVE-2020-36182,https://security.snyk.io/search?type=any&q=CVE-2020-36182,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36182,TRUE,FALSE,
